train_noise,depth,mlp_ratio,embed_dim,num_heads,params,epochs,test_noise,accuracy
0.2,12,0.5,192,3,2258122,30,0.0,59.29
0.25,12,0.5,192,3,2258122,30,0.0,56.3
0.3,12,0.5,192,3,2258122,30,0.0,52.42
0.35,12,0.5,192,3,2258122,30,0.0,51.91
0.4,12,0.5,192,3,2258122,30,0.0,48.72
0.0,12,1.0,192,3,2701642,30,0.0,77.71
0.05,12,1.0,192,3,2701642,30,0.0,74.59
0.1,12,1.0,192,3,2701642,30,0.0,68.16
0.15,12,1.0,192,3,2701642,30,0.0,62.01
0.2,12,1.0,192,3,2701642,30,0.0,59.13
0.25,12,1.0,192,3,2701642,30,0.0,55.75
0.3,12,1.0,192,3,2701642,30,0.0,52.24
0.35,12,1.0,192,3,2701642,30,0.0,49.02
0.4,12,1.0,192,3,2701642,30,0.0,49.53
0.0,12,1.5,192,3,3145162,30,0.0,78.07
0.05,12,1.5,192,3,3145162,30,0.0,73.73
0.1,12,1.5,192,3,3145162,30,0.0,67.48
0.15,12,1.5,192,3,3145162,30,0.0,60.67
0.2,12,1.5,192,3,3145162,30,0.0,57.16
0.25,12,1.5,192,3,3145162,30,0.0,55.38
0.3,12,1.5,192,3,3145162,30,0.0,54.03
0.35,12,1.5,192,3,3145162,30,0.0,51.68
0.4,12,1.5,192,3,3145162,30,0.0,47.81
0.0,12,2.0,192,3,3588682,30,0.0,77.91
0.05,12,2.0,192,3,3588682,30,0.0,73.77
0.1,12,2.0,192,3,3588682,30,0.0,68.08
0.15,12,2.0,192,3,3588682,30,0.0,60.03
0.2,12,2.0,192,3,3588682,30,0.0,55.13
0.25,12,2.0,192,3,3588682,30,0.0,52.43
0.3,12,2.0,192,3,3588682,30,0.0,46.89
0.35,12,2.0,192,3,3588682,30,0.0,50.68
0.4,12,2.0,192,3,3588682,30,0.0,48.18
0.0,12,2.5,192,3,4032202,30,0.0,77.12
0.05,12,2.5,192,3,4032202,30,0.0,69.94
0.1,12,2.5,192,3,4032202,30,0.0,67.38
0.15,12,2.5,192,3,4032202,30,0.0,60.63
0.2,12,2.5,192,3,4032202,30,0.0,53.29
0.25,12,2.5,192,3,4032202,30,0.0,54.04
0.3,12,2.5,192,3,4032202,30,0.0,51.41
0.35,12,2.5,192,3,4032202,30,0.0,49.13
0.4,12,2.5,192,3,4032202,30,0.0,50.5
0.0,12,3.0,192,3,4475722,30,0.0,70.92
0.05,12,3.0,192,3,4475722,30,0.0,74.58
0.1,12,3.0,192,3,4475722,30,0.0,65.16
0.15,12,3.0,192,3,4475722,30,0.0,57.41
0.2,12,3.0,192,3,4475722,30,0.0,52.84
0.25,12,3.0,192,3,4475722,30,0.0,52.37
0.3,12,3.0,192,3,4475722,30,0.0,48.96
0.35,12,3.0,192,3,4475722,30,0.0,48.45
0.4,12,3.0,192,3,4475722,30,0.0,46.64
0.0,12,3.5,192,3,4919242,30,0.0,78.87
0.05,12,3.5,192,3,4919242,30,0.0,69.6
0.1,12,3.5,192,3,4919242,30,0.0,66.82
0.15,12,3.5,192,3,4919242,30,0.0,59.72
0.2,12,3.5,192,3,4919242,30,0.0,54.83
0.25,12,3.5,192,3,4919242,30,0.0,51.64
0.3,12,3.5,192,3,4919242,30,0.0,49.25
