train_noise,depth,mlp_ratio,params,accuracy,auc_mean,auc_ci_low,auc_ci_high,precision,recall,f1
0.1,12,5.5,6693322,64.0,94.74655884003398,94.7391516029587,94.75396607710925,67.93107634919986,63.99999999999999,64.35537698982989
0.15,12,5.5,6693322,57.86,93.1692386214819,93.16084334343438,93.17763389952943,64.69747638641866,57.86,58.20760414068845
0.2,12,5.5,6693322,53.26,91.3005252156734,91.29101620734045,91.31003422400636,60.270234055840334,53.26,53.23415631069337
0.25,12,5.5,6693322,46.06,88.36778705141376,88.35661362078804,88.37896048203947,51.9415417998905,46.06,46.044573842047434
0.3,12,5.5,6693322,48.11,88.81138550457298,88.8000601312084,88.82271087793757,53.31669071357934,48.11,48.406223077050434
0.35,12,5.5,6693322,45.660000000000004,87.37446634369856,87.36241955278626,87.38651313461084,49.2939625033359,45.660000000000004,45.410234882996505
0.4,12,5.5,6693322,43.97,86.85185770748458,86.83965792380158,86.86405749116759,47.43720919268575,43.970000000000006,43.42560659353253
0.0,12,6.0,7136842,74.09,96.61296503751173,96.6074353041833,96.61849477084017,74.04506291633064,74.09000000000002,74.03373060635332
0.05,12,6.0,7136842,62.21,93.92568790529663,93.91789992205493,93.93347588853833,63.909943726292674,62.20999999999999,62.26065416990849
0.1,12,6.0,7136842,64.42999999999999,94.57249842737224,94.5650795783035,94.57991727644097,67.75509972018182,64.42999999999999,64.65673361268257
0.15,12,6.0,7136842,49.230000000000004,89.78454080903927,89.77413843502411,89.79494318305441,53.88741589396332,49.230000000000004,49.3976359613735
0.2,12,6.0,7136842,52.68000000000001,90.99837611805205,90.98863551681941,91.00811671928469,59.436086132567276,52.68000000000001,53.014042705754825
0.25,12,6.0,7136842,50.41,90.05355044608756,90.04309615776415,90.06400473441096,57.05605289040864,50.41,50.48423522616786
